loan_status,Principal,terms,paid_off_time_hours,paid_off_time_datename,past_due_days,age,education,Gender,Due_Date_Day,paid_off_time_month,Due_Date_Month,paid_off_time_days,Effective_date_Month,Effective_date_Day,Repayment_Time
PAIDOFF,1000,30,19:31,Wednesday,0,45,High School or Below,male,Friday,September,October,6,September,Thursday,29
PAIDOFF,1000,30,09:00:00,Friday,0,50,Bechalor,female,Friday,October,October,29,September,Thursday,29
PAIDOFF,1000,30,16:58,Sunday,0,33,Bechalor,female,Friday,September,October,17,September,Thursday,29
PAIDOFF,1000,15,20:00,Thursday,0,27,college,male,Thursday,September,September,14,September,Thursday,14
PAIDOFF,1000,30,21:36,Friday,0,28,college,female,Saturday,September,October,14,September,Friday,29
PAIDOFF,300,7,13:45:00,Friday,0,35,Master or Above,male,Thursday,September,September,0,September,Friday,6
PAIDOFF,1000,30,23:07:00,Friday,0,29,college,male,Saturday,October,October,28,September,Friday,29
PAIDOFF,1000,30,20:33:00,Wednesday,0,36,college,male,Saturday,October,October,26,September,Friday,29
PAIDOFF,1000,30,16:00:00,Saturday,0,28,college,male,Saturday,October,October,29,September,Friday,29
PAIDOFF,800,15,13:00,Saturday,0,26,college,male,Saturday,September,September,14,September,Saturday,14
PAIDOFF,300,7,19:11:00,Sunday,0,29,college,male,Friday,September,September,1,September,Saturday,6
PAIDOFF,1000,15,16:00:00,Sunday,0,39,High School or Below,male,Sunday,October,October,29,September,Saturday,29
PAIDOFF,1000,30,23:32:00,Friday,0,26,college,male,Sunday,October,October,27,September,Saturday,29
PAIDOFF,900,7,21:57,Tuesday,0,26,college,female,Friday,September,September,3,September,Saturday,6
PAIDOFF,1000,7,14:27,Thursday,0,27,High School or Below,male,Friday,September,September,5,September,Saturday,6
PAIDOFF,800,15,16:00,Saturday,0,26,college,male,Saturday,September,September,14,September,Saturday,14
PAIDOFF,1000,30,14:21,Tuesday,0,40,High School or Below,male,Sunday,September,October,17,September,Saturday,29
PAIDOFF,1000,15,18:49,Friday,0,32,High School or Below,male,Saturday,September,September,13,September,Saturday,14
PAIDOFF,1000,30,22:05:00,Wednesday,0,32,High School or Below,male,Sunday,October,October,25,September,Saturday,29
PAIDOFF,800,30,07:42,Friday,0,26,college,male,Sunday,September,October,13,September,Saturday,29
PAIDOFF,1000,30,09:00:00,Sunday,0,26,college,male,Sunday,October,October,29,September,Saturday,29
PAIDOFF,1000,30,17:09:00,Saturday,0,43,High School or Below,female,Sunday,October,October,28,September,Saturday,29
PAIDOFF,1000,30,23:00:00,Sunday,0,25,High School or Below,male,Sunday,October,October,29,September,Saturday,29
PAIDOFF,1000,15,13:00,Saturday,0,26,college,male,Saturday,September,September,14,September,Saturday,14
PAIDOFF,1000,30,12:50:00,Monday,0,26,college,male,Sunday,October,October,23,September,Saturday,29
PAIDOFF,1000,30,12:18,Thursday,0,29,High School or Below,male,Sunday,September,October,19,September,Saturday,29
PAIDOFF,800,15,20:16,Wednesday,0,39,Bechalor,male,Saturday,September,September,11,September,Saturday,14
PAIDOFF,1000,15,08:21,Friday,0,34,Bechalor,male,Saturday,September,September,13,September,Saturday,14
PAIDOFF,1000,30,19:17,Thursday,0,31,college,male,Monday,September,October,11,September,Sunday,29
PAIDOFF,1000,30,17:33:00,Sunday,0,33,college,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,800,15,14:41,Saturday,0,33,High School or Below,male,Sunday,September,September,13,September,Sunday,14
PAIDOFF,1000,30,21:48:00,Friday,0,37,college,male,Monday,October,October,26,September,Sunday,29
PAIDOFF,1000,30,17:44:00,Sunday,0,27,college,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,1000,30,07:24:00,Sunday,0,37,college,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,800,15,21:49,Sunday,0,33,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,800,15,09:00,Sunday,0,29,Bechalor,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,16:00:00,Monday,0,27,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,700,15,13:00,Sunday,0,33,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,15,09:00,Sunday,0,24,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,11:33:00,Monday,0,21,Bechalor,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,15,09:00,Sunday,0,32,college,female,Sunday,September,September,14,September,Sunday,14
PAIDOFF,800,15,14:36,Sunday,0,30,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,7,09:00,Saturday,0,31,Bechalor,male,Saturday,September,September,13,September,Sunday,13
PAIDOFF,1000,15,15:00,Tuesday,0,30,college,male,Sunday,September,September,9,September,Sunday,14
PAIDOFF,1000,15,22:29,Wednesday,0,24,Bechalor,female,Sunday,September,September,10,September,Sunday,14
PAIDOFF,800,7,22:17:00,Monday,0,35,High School or Below,male,Saturday,September,September,1,September,Sunday,6
PAIDOFF,1000,30,14:14:00,Saturday,0,22,High School or Below,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,30,08:53:00,Sunday,0,32,college,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,1000,30,09:00:00,Monday,0,32,Bechalor,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,800,15,19:21,Sunday,0,50,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,800,15,13:00,Sunday,0,27,college,female,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,09:00:00,Monday,0,35,Bechalor,female,Monday,October,October,29,September,Sunday,29
PAIDOFF,800,15,04:34,Tuesday,0,35,Bechalor,female,Sunday,September,September,2,September,Sunday,14
PAIDOFF,1000,30,09:00:00,Monday,0,34,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,16:00:00,Monday,0,21,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,15,16:00,Sunday,0,25,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,09:00:00,Monday,0,27,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,02:33:00,Friday,0,26,Bechalor,male,Monday,October,October,26,September,Sunday,29
PAIDOFF,800,15,11:40,Saturday,0,44,High School or Below,female,Sunday,September,September,13,September,Sunday,14
PAIDOFF,800,15,06:38,Thursday,0,39,Master or Above,male,Sunday,September,September,11,September,Sunday,14
PAIDOFF,1000,30,21:12,Friday,0,34,Bechalor,male,Monday,September,October,19,September,Sunday,29
PAIDOFF,1000,15,13:42,Saturday,0,37,college,male,Sunday,September,September,13,September,Sunday,14
PAIDOFF,1000,30,07:25:00,Saturday,0,34,High School or Below,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,30,11:40:00,Monday,0,45,college,male,Monday,September,October,1,September,Sunday,29
PAIDOFF,800,15,14:38,Sunday,0,24,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,900,15,23:00,Sunday,0,28,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,12:04:00,Saturday,0,28,Bechalor,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,30,09:00:00,Monday,0,37,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,300,7,22:05,Wednesday,0,35,college,male,Saturday,September,September,3,September,Sunday,6
PAIDOFF,1000,30,13:27,Saturday,0,43,Bechalor,male,Monday,September,October,13,September,Sunday,29
PAIDOFF,800,15,21:18,Thursday,0,29,college,male,Sunday,September,September,11,September,Sunday,14
PAIDOFF,800,15,22:53,Saturday,0,29,High School or Below,male,Sunday,September,September,13,September,Sunday,14
PAIDOFF,1000,30,16:00:00,Monday,0,33,Bechalor,female,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,15,09:00,Sunday,0,34,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,15,09:00,Sunday,0,25,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,13:12:00,Saturday,0,30,High School or Below,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,30,13:49:00,Sunday,0,31,Bechalor,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,1000,30,09:00:00,Monday,0,35,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,14:29,Friday,0,37,college,female,Monday,September,October,19,September,Sunday,29
PAIDOFF,1000,30,09:00:00,Monday,0,44,High School or Below,female,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,16:18,Wednesday,0,28,High School or Below,male,Monday,September,October,10,September,Sunday,29
PAIDOFF,1000,7,14:53,Tuesday,0,25,college,male,Saturday,September,September,2,September,Sunday,6
PAIDOFF,1000,15,09:00,Sunday,0,29,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,800,15,13:00,Sunday,0,33,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,13:00:00,Monday,0,37,High School or Below,female,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,09:00:00,Wednesday,0,33,college,male,Wednesday,November,November,59,September,Sunday,59
PAIDOFF,1000,30,09:00:00,Monday,0,24,High School or Below,female,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,13:01,Saturday,0,27,college,female,Monday,September,October,6,September,Sunday,29
PAIDOFF,800,15,09:35,Wednesday,0,43,Bechalor,male,Sunday,September,September,10,September,Sunday,14
